ID,NUM,Drug_num,score,rank,SMILES(Standardized),Name,CAS,Formula,MolWt
TN7109,11,AUTOGEN_Drug_11,0.000788553,1,OC[C@@]1(C)[C@@H](CC[C@@]2([C@@H]1CC[C@]1([C@H]2C=C[C@@]23[C@]1(C)C[C@H](O)[C@]1([C@H]3CC(CC1)(C)C)CO2)C)C)O[C@H]1O[C@@H](C)[C@H]([C@H]([C@@H]1O)O)O,Prosaikogenin G,99365-23-8,C36H58O8,618.84
TN1902,12,AUTOGEN_Drug_12,0.00178054,2,COc1cc2CC[N+]([C@@H](c2cc1O)Cc1ccc(cc1)O)(C)C,Magnocurarine,6801-40-7,C19H24NO3,314.4
TN2054,13,AUTOGEN_Drug_13,0.000809859,9,CO[C@H]1C[C@H](O[C@H]2CC[C@]3([C@](C2)(O)CC[C@@H]2[C@@H]3CC[C@]3([C@]2(O)CC[C@@H]3C2=CC(=O)OC2)C)C)O[C@@H]([C@H]1O)C,Periplocymarin,32476-67-8,C30H46O8,534.69
T7028,14,AUTOGEN_Drug_14,0.00206527,1,COc1c(/C=C/C(=O)c2ccc(cc2)O)ccc(c1CC=C(C)C)O,LICOCHALCONEC,144506-14-9,C21H22O4,338.39
TN1918,15,AUTOGEN_Drug_15,0.00283812,1,COc1ccc2c(c1)O[C@@H]1[C@@H]2COc2c1ccc(c2)O,Medicarpin,32383-76-9,C16H14O4,270.3
TN1507,16,AUTOGEN_Drug_16,0.000655765,11,OC[C@H]1O[C@@H](O[C@@H]2CO[C@H]([C@@H]([C@@H]2O)O)O[C@H]2[C@@H](O)[C@H](O[C@H]3[C@@H](OC[C@@H]([C@@H]3O)O)O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]3([C@@H]4CC=C4[C@@]3(C)CC[C@@]3([C@H]4CC(C)(C)CC3)C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@H]([C@@H]([C@H]4O)O)O[C@@H]4O[C@@H](C)[C@@H]([C@H]([C@H]4O)O)O)[C@H]([C@@H]([C@H]3O)O)O)C)C)O[C@H]([C@@H]2O)C)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O)O)O,Clematichinenoside AR,761425-93-8,C82H134O43,1807.93
TN1640,17,AUTOGEN_Drug_17,0.000943855,1,COc1cc2ccc(=O)oc2cc1O[C@@H]1O[C@H](CO[C@@H]2OC[C@H]([C@@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O,Fabiatrin,18309-73-4,C21H26O13,486.42
TN1417,18,AUTOGEN_Drug_18,0.000530776,4,C/C=C(/C(=O)O[C@H]1C[C@@H](OC(=O)C)[C@@]2([C@H]3[C@@]41CO[C@]([C@H]4[C@@](C)([C@@H]([C@@H]3OC2)O)[C@@]12O[C@@]2(C)[C@H]2C[C@@H]1O[C@H]1[C@]2(O)C=CO1)(O)C(=O)OC)C(=O)OC)\C,Azadirachtin,11141-17-6,C35H44O16,720.71
TN1773,19,AUTOGEN_Drug_19,0.000677151,4,OC[C@H]1O[C@@H](OC([C@@H]2CC[C@](O2)(C)[C@H]2[C@H](O)C[C@@]3([C@]2(C)CCC24[C@H]3C[C@H]([C@@H]3[C@]4(C2)CC[C@H](C3(C)C)O[C@@H]2OC[C@H]([C@@H]([C@H]2O)O)O)O)C)(C)C)[C@@H]([C@H]([C@@H]1O)O)O,Isoastragaloside IV,136033-55-1,C41H68O14,784.98
TN2091,20,AUTOGEN_Drug_20,0.000770858,5,OC[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@]3([C@H]([C@@]2(C)CO)CC[C@@]2([C@@H]3CC=C3[C@@]2(C)C[C@H]([C@@]2([C@H]3CC(C)(C)CC2)C(=O)O[C@@H]2OC[C@@H]([C@@H]([C@H]2O[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O[C@@H]2OC[C@H]([C@@H]([C@H]2O)O[C@@H]2OC[C@]([C@H]2O)(O)CO)O)O)O)O)C)C)[C@@H]([C@H]([C@@H]1O)O)O,Polygalacin D,66663-91-0,C57H92O27,1209.4
TQ0131,21,AUTOGEN_Drug_21,0.000970353,5,COc1ccc(cc1)[C@]12Oc3c([C@@]2(O)[C@@H]([C@@H]([C@H]1c1ccccc1)C(=O)N(C)C)O)c(OC)cc(c3)OC,Rocaglamide,84573-16-0,C29H31NO7,505.56
TQ0096,22,AUTOGEN_Drug_22,0.000505541,7,C/C=C(\C(=O)O[C@H]1CC2=C[C@@H](OC2=O)C/C(=C/[C@@H]2[C@@H]1C(=C)C(=O)O2)/C)/C,Scabertopin,185213-52-9,C20H22O6,358.39
TN4583,23,AUTOGEN_Drug_23,0.000803326,8,S=C=NCc1ccc(cc1)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,Moringin,73255-40-0,C14H17NO5S,311.35
TQ0089,24,AUTOGEN_Drug_24,0.00202614,1,OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1ccc(cc1)O,Juglanin,5041-67-8,C20H16O10,418.35
TN1539,25,AUTOGEN_Drug_25,0.000636925,7,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC(=O)[C@@]34CC[C@H]([C@@H]4[C@@H]4[C@](CC3)(C)[C@]3(C)CC[C@@H]5[C@]([C@H]3CC4)(C)CC[C@@H](C5(C)C)O[C@@H]3OC[C@@H]([C@@H]([C@H]3O[C@@H]3O[C@@H](C)[C@@H]([C@H]([C@H]3O)O)O)O)O)C(=C)C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O,Cussosaponin C,366814-42-8,C59H96O25,1205.38
TN1658,26,AUTOGEN_Drug_26,0.00103672,4,O=C(CC(C(=O)O)C)/C=C(/C1CC(=O)C2(C1(C)CC(=O)C1=C2C(O)CC2C1(C)CCC(=O)C2(C)C)C)\C,Ganoderenic acid D,100665-43-8,C30H40O7,512.63
TN2119,27,AUTOGEN_Drug_27,0.000666565,8,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC(=O)[C@]34CC[C@@]5(C(=CC[C@H]6[C@@]5(C)CC[C@@H]5[C@]6(C)CC[C@@H]([C@@]5(C)CO)O[C@@H]5OC[C@@H]([C@@H]([C@H]5O[C@@H]5O[C@@H](C)[C@@H]([C@H]([C@H]5O)O)O)O)O[C@@H]5O[C@H](CO)[C@H]([C@@H]([C@H]5O)O)O)[C@@H]4CC(CC3)(C)C)C)[C@@H]([C@H]([C@@H]2O[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Pulsatilla saponin H,68027-14-5,C65H106O31,1383.52
TP2223,28,AUTOGEN_Drug_28,0.000573834,12,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC(=O)[C@@]34CC[C@H]([C@@H]4[C@@H]4[C@](CC3)(C)[C@]3(C)CC[C@@H]5[C@]([C@H]3CC4)(C)CC[C@@H](C5(C)C)O[C@@H]3OC[C@@H]([C@@H]([C@H]3O[C@@H]3O[C@@H](C)[C@@H]([C@H]([C@H]3O)O)O)O)O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)C(=C)C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O,Beesioside Q,261767-91-3,C65H106O30,1367.52
T39049,29,AUTOGEN_Drug_29,0.00127031,1,O[C@@H]1CC[C@]2([C@H](C1)C(=O)[C@@H]1[C@@H](C2)C[C@@H]2[C@H]1CC[C@@H]1[C@H]2CN2[C@H]([C@@]1(C)O)CC[C@@H](C2)C)C,Yubeinine,157478-01-8,C27H43NO3,429.64
T4587,30,AUTOGEN_Drug_30,0.00194496,1,OC[C@@]1(O)CO[C@H]([C@@H]1O)OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)ccc2c1occ(c2=O)c1ccc(cc1)O,Mirificin,103654-50-8,C26H28O13,548.49
TN1296,31,AUTOGEN_Drug_31,0.00141322,1,COc1cc(C=CC(=O)O[C@@H]2C[C@](O)(C[C@H]([C@@H]2O)O)C(=O)O)ccc1O,5-Feruloylquinic acid,40242-06-6,C17H20O9,368.34
T13082,32,AUTOGEN_Drug_32,0.00067928,6,OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)O[C@@H]1[C@H](O[C@H]([C@@H]([C@H]1O)O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@]1([C@H]2CC(C)(C)CC1)C(=O)O)C)C)C(=O)O,Tarasaponin VI,59252-95-8,C41H64O13,764.94
TN1217,33,AUTOGEN_Drug_33,0.00246738,1,COc1cc(O)ccc1C(=O)C=Cc1ccc(cc1)O,2'-O-Methylisoliquiritigenin,51828-10-5,C16H14O4,270.28
T4073,34,AUTOGEN_Drug_34,0.0017784,1,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(c(c3=O)O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,Kaempferol-7-O-D-glucopyranoside,16290-07-6,C21H20O11,448.38
TN1160,35,AUTOGEN_Drug_35,0.0012115,3,O[C@@H]1[C@@H](COC(=O)c2cc(O)c(c(c2)O)O)O[C@H]([C@@H]([C@H]1OC(=O)c1cc(O)c(c(c1)O)O)OC(=O)c1cc(O)c(c(c1)O)O)OC(=O)c1cc(O)c(c(c1)O)O,"1,2,3,6-Tetragalloylglucose",79886-50-3,C34H28O22,788.57
T3S1149,36,AUTOGEN_Drug_36,0.000902589,4,O=C(CC(C(=O)O)C)C[C@H]([C@H]1CC(=O)[C@@]2([C@]1(C)[C@H](O)C(=O)C1=C2[C@@H](O)C[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)C,Ganoderic acid G,98665-22-6,C30H44O8,532.67
T13589,37,AUTOGEN_Drug_37,0.00231297,1,OC[C@]1(O)COc2cc(O)ccc2c2cc(O)c(cc2C[C@@](COc2c(c3c(C1)cc(O)c(c3)O)ccc(c2)O)(O)CO)O,Caesappanin C,1913319-59-1,C32H32O12,608.59
TQ0248,38,AUTOGEN_Drug_38,0.000919973,2,O[C@H]1CC2=C3[C@H](C)C[C@H](O[C@H]3C[C@@]2([C@@]2([C@@H]1[C@@]1(C)CCC(=O)C([C@@H]1CC2)(C)C)C)C)[C@H](C(O)(C)C)O,Alisol F,155521-45-2,C30H48O5,488.7
TN1787,39,AUTOGEN_Drug_39,0.00144134,1,OC[C@H]1O[C@@H](Oc2ccc3c(c2)OC[C@H](C3)c2ccc(c(c2O)OC)OC)[C@@H]([C@H]([C@@H]1O)O)O,Isomucronulatol 7-O-beta-glucoside,136087-29-1,C23H28O10,464.46
TN1860,40,AUTOGEN_Drug_40,0.0020832,1,CC(=CCc1cc2c(=O)cc(oc2cc1O)c1ccc(c(c1)CC=C(C)C)O)C,Licoflavone B,91433-17-9,C25H26O4,390.47
T2S0968,41,AUTOGEN_Drug_41,0.00120663,2,OCc1cc(O)c2c(c1)C(C1c3cccc(c3C(=O)c3c1cc(cc3O)C(=O)O)OC1OC(CO)C(C(C1O)O)O)c1c(C2=O)c(ccc1)OC1OC(CO)C(C(C1O)O)O,Sennoside D,37271-17-3,C42H40O19,848.76
TN3243,42,AUTOGEN_Drug_42,0.00297304,1,COc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(c(c1)O)O,7-O-Methyleriodictyol,51857-11-5,C16H14O6,302.28
TQ0099,43,AUTOGEN_Drug_43,0.000643183,9,C/C=C(\C(=O)O[C@H]1C(=C[C@]23[C@]1(O)[C@H](O)C(=C[C@H](C3=O)[C@H]1[C@@H](C[C@H]2C)C1(C)C)COC(=O)C)C)/C,20-O-Acetylingenol-3-angelate,82425-35-2,C27H36O7,472.57
T12581,44,AUTOGEN_Drug_44,0.00198519,3,OC[C@H]1O[C@@H](Oc2ccc(cc2)c2coc3c(c2=O)ccc(c3[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Puerarin-4'-O-??-D-glucopyranoside,117047-08-2,C27H30O14,578.52
TN1244,45,AUTOGEN_Drug_45,0.00162503,1,COc1ccc(cc1O)c1cc(=O)c2c(o1)c(OC)c(c(c2OC)OC)OC,3'-Demethylnobiletin,112448-39-2,C20H20O8,388.37
TN1016,46,AUTOGEN_Drug_46,0.00156618,1,O=C(CCc1ccc(c(c1)O)O)NCCCNCCCCNCCCNC(=O)CCc1ccc(c(c1)O)O,Kukoamine A,75288-96-9,C28H42N4O6,530.66
T3853,47,AUTOGEN_Drug_47,0.0018056,1,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O)O)O)O,Camelliaside B,131573-90-5,C32H38O19,726.6
T13741,48,AUTOGEN_Drug_48,0.00162799,3,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)c([C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)c(c2c1oc(cc2=O)c1ccc(cc1)O)O,Isoviolanthin,40788-84-9,C27H30O14,578.52
TMA0958,49,AUTOGEN_Drug_49,0.0014768,1,O=C(O[C@@H]1[C@@H](CO[C@@H]2OC[C@H]([C@@H]([C@H]2O)O)O)O[C@H]([C@@H]([C@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)OCCc1ccc(c(c1)O)O)/C=C/c1ccc(c(c1)O)O,Arenarioside,94130-58-2,C34H44O19 ,756.7
TQ0309,50,AUTOGEN_Drug_50,0.000999147,3,CC(=O)O[C@@H]1[C@H]2CC[C@@H]3[C@]1([C@H](O)C[C@H]1[C@@]3(C)CCC(=O)C1(C)C)C(=O)C2=C,Glaucocalyxin B,80508-81-2,C22H30O5,374.47
TN1433,51,AUTOGEN_Drug_51,0.00275012,1,COc1cc(CCc2cccc(c2)O)cc(c1)O,Batatasin III,56684-87-8,C15H16O3,244.29
T12540,52,AUTOGEN_Drug_52,0.000951752,2,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(NC(=O)C2N(C(=O)C(N(C(=O)C3N(C1=O)CCC3)C)Cc1ccc(cc1)N(C)C)CCC(=O)C2)c1ccccc1,Pristinamycin IA,3131/3/1,C45H54N8O10,866.96
TN6864,53,AUTOGEN_Drug_53,0.000788553,1,OC[C@@]1(C)[C@@H](CC[C@@]2([C@@H]1CC[C@]1([C@H]2C=C[C@@]23[C@]1(C)C[C@@H](O)[C@]1([C@H]3CC(CC1)(C)C)CO2)C)C)O[C@H]1O[C@@H](C)[C@H]([C@H]([C@@H]1O)O)O,Prosaikogenin F,99365-20-5,C36H58O8,618.84
TQ0158,54,AUTOGEN_Drug_54,0.000956759,5,N[C@H](C(=O)O)COC(=O)C=N#N,Azaserine,115-02-6,C5H7N3O4,173.13
TN1325,55,AUTOGEN_Drug_55,0.00269727,1,CC(=CCc1c(O)cc2c(c1O)C(=O)C[C@H](O2)c1ccc(cc1)O)C,6-Prenylnaringenin,68236-13-5,C20H20O5,340.37
TN2010,56,AUTOGEN_Drug_56,0.00193029,1,COc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)OC,Ombuin,529-40-8,C17H14O7,330.29
TN1134,57,AUTOGEN_Drug_57,0.000900878,5,O[C@@H]1C[C@@]2(C)C(C([C@@H]1O)(C)C)CC[C@@]1(C2CC=C2[C@@]1(C)CC[C@@]1(C2[C@](C)(O)[C@H](C)CC1)C(=O)O)C,Euscaphic acid,53155-25-2,C30H48O5,488.7
TN1405,58,AUTOGEN_Drug_58,0.000608854,2,C[C@@H]1C[C@H]2OC(=O)[C@H]([C@H]2[C@@H]([C@]2([C@H]1C=CC2=O)C)OC(=O)C(=C)C)C,Arnicolide D,34532-68-8,C19H24O5,332.39
T13301,59,AUTOGEN_Drug_59,0.00162799,3,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)c([C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)c2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,Violanthin,40581-17-7,C27H30O14,578.52
T11218,60,AUTOGEN_Drug_60,0.00342502,1,Oc1ccc(cc1)/C=C/c1cc(O)cc2c1[C@@H](c1cc(O)cc(c1)O)[C@@H](O2)c1ccc(cc1)O,??-???€??媀iniferin,62218-08-0,C28H22O6,454.47
TN1777,61,AUTOGEN_Drug_61,0.000725201,2,OC[C@H]1O[C@@H](O[C@H]2[C@@H](O[C@@H]([C@H]([C@@H]2O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)C(=O)O)O[C@H]2CC[C@]3([C@H]([C@@]2(C)CO)CC[C@@]2([C@@H]3CC=C3[C@@]2(C)C[C@H]([C@@]2([C@H]3CC(C)(C)[C@H]([C@@H]2O)OC(=O)/C(=C\C)/C)COC(=O)C)O)C)C)[C@@H]([C@H]([C@@H]1O)O)O,Isoescin IB,219944-46-4,C55H86O24,1131.26
TN1691,62,AUTOGEN_Drug_62,0.00248408,2,CC(=CCc1cc(ccc1O)[C@@H]1CC(=O)c2c(O1)c(CC=C(C)C)c(cc2)O)C,Glabrol,59870-65-4,C25H28O4,392.49
TN1725,63,AUTOGEN_Drug_63,0.000616042,10,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC(=O)[C@]34CC[C@@]5(C(=CC[C@H]6[C@@]5(C)CC[C@@H]5[C@]6(C)CC[C@@H](C5(C)C)O[C@@H]5OC[C@@H]([C@@H]([C@H]5O[C@@H]5O[C@@H](C)[C@@H]([C@H]([C@H]5O)O)O)O)O[C@@H]5O[C@H](CO)[C@H]([C@@H]([C@H]5O)O)O)[C@@H]4CC(CC3)(C)C)C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O,Hederacolchiside E,33783-82-3,C65H106O30,1367.52
T7090,64,AUTOGEN_Drug_64,0.00133902,1,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OCCc3ccc(c(c3)O)O)[C@@H]([C@H]([C@@H]2OC(=O)/C=C/c2ccc(c(c2)OC)O)O[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Jionoside A1,120444-60-2,C36H48O20,800.8
T11363,65,AUTOGEN_Drug_65,0.000954063,4,O=C(CC(C(=O)O)C)C[C@H]([C@H]1CC(=O)[C@@]2([C@]1(C)[C@H](OC(=O)C)C(=O)C1=C2C(=O)C[C@@H]2[C@]1(C)CCC(=O)C2(C)C)C)C,Ganoderic acid F,98665-15-7,C32H42O9,570.67
TN1722,66,AUTOGEN_Drug_66,0.00150064,2,O=C[C@]([C@@H]([C@@H](COC(=O)c1cc(O)c(c(c1)O)O)O)O)(COC(=O)c1cc(O)c(c(c1)O)O)O,Hamamelitannin,469-32-9,C20H20O14,484.36
TN1195,67,AUTOGEN_Drug_67,0.000761151,6,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C(=CC[C@@H]4[C@@H]3CC[C@]3([C@H]4C[C@H]4[C@]3(O)[C@H](C)[C@]3(O4)CC[C@H](CO3)C)C)C2)C)[C@@H]([C@H]([C@@H]1O[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,17-Hydroxy sprengerinin C,1029017-75-1,C44H70O17,871.02
T3S2156,68,AUTOGEN_Drug_68,0.00145782,1,OC[C@H]1O[C@@H](OC[C@@H]2O[C@H](Oc3cc(O)c4c(c3)oc(cc4=O)c3ccccc3)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Chrysin 7-O-beta-gentiobioside,88640-89-5,C27H30O14,578.52
TN1727,69,AUTOGEN_Drug_69,0.00271688,1,COc1cc(O)cc(c1C(=O)/C=C/c1ccc(cc1)O)O,Helichrysetin,62014-87-3,C16H14O5,286.3
TN3690,70,AUTOGEN_Drug_70,0.00131882,1,COc1c(O[C@@H]2O[C@H](C(=O)O)[C@H]([C@@H]([C@H]2O)O)O)cc2c(c1O)c(=O)cc(o2)c1ccc(cc1)OC,Comanthoside B,70938-60-2,C23H22O12,490.41
T13761,71,AUTOGEN_Drug_71,0.00149721,1,OC(=O)[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O)O,Luteolin 7-diglucuronide,96400-45-2,C27H26O18,638.48
TN1800,72,AUTOGEN_Drug_72,0.00197098,1,OC[C@H]1O[C@@H](Oc2cc3O[C@@H](CC(=O)c3c(c2)O)c2ccc(cc2)OC)[C@@H]([C@H]([C@@H]1O)O)O,Isosakuranin,491-69-0,C22H24O10,448.1
TN1652,73,AUTOGEN_Drug_73,0.00146903,1,COc1c(OC)cc2c(c1CC=C(C)C)c(=O)c1c(o2)cc(c(c1O)CC=C(C)C)OC,Fuscaxanthone C,15404-76-9,C26H30O6,438.5
TN1521,74,AUTOGEN_Drug_74,0.00210041,1,COc1ccc2c(c1)OC[C@H](C2)c1cc(O)c(c(c1O)OC)OC,Colutehydroquinone,181311-16-0,C18H20O6,332.35
TN1248,75,AUTOGEN_Drug_75,0.00103713,6,O[C@@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@]1([C@H]2CC(C)(C)CC1)C(=O)O)C)C,3-Epioleanolic acid,25499-90-5,C30H48O3,456.7
TN1721,76,AUTOGEN_Drug_76,0.000625327,11,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)C[C@]3([C@H](C2(C)C)CC[C@@]2([C@@H]3C[C@@H](O)[C@H]3[C@@]2(C)CC[C@@H]3[C@](CCC=C(C)C)(O)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,Gypenoside L,94987-09-4,C42H72O14,801
TN1414,77,AUTOGEN_Drug_77,0.00128586,1,OC[C@H]1O[C@@H](Oc2cc3C(=O)c4cc(C)c(c(c4C(=O)c3c(c2OC)O)OC)O)[C@@H]([C@H]([C@@H]1O)O)O,Aurantio-obtusin ??-D-glucoside,129025-96-3,C23H24O12,492.43
T4109,78,AUTOGEN_Drug_78,0.00171412,1,OC[C@H]1O[C@@H](Oc2cc(ccc2OC)/C=C/c2cc(O)cc(c2)O)[C@@H]([C@H]([C@@H]1O)O)O,Rhapontigenin 3'-O-glucoside,94356-22-6,C21H24O9,420.4
TN2332,79,AUTOGEN_Drug_79,0.000663643,8,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC(=O)[C@@]34CCC(C[C@H]4C4=CC[C@H]5[C@@]([C@@]4(CC3)C)(C)CC[C@@H]3[C@]5(C)CC[C@@H](C3(C)C)O[C@@H]3OC[C@@H]([C@@H]([C@H]3O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)O)O)(C)C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O,Ciwujianoside A1,120768-65-2,C59H96O26,1221.39
